epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,16563.1,1.01205,0.67431,1.11009,0.88415,0.80499,0.86768,0.62477,1.18667,0.76464,1.24404,0.00625323,0.00625323,0.00625323
125,16693.9,1.01214,0.68305,1.11702,0.88565,0.80477,0.86784,0.62489,1.18605,0.76411,1.24378,0.00622277,0.00622277,0.00622277
126,16824.6,1.01252,0.67761,1.11268,0.8914,0.80098,0.86795,0.62492,1.18585,0.76329,1.24451,0.00619231,0.00619231,0.00619231
127,16955.7,1.00751,0.6695,1.10744,0.89114,0.80094,0.86805,0.62523,1.18539,0.7625,1.24416,0.00616185,0.00616185,0.00616185
128,17098.1,1.00739,0.67343,1.10887,0.89189,0.79982,0.86794,0.62525,1.18466,0.76172,1.24393,0.00613138,0.00613138,0.00613138
129,17229.5,1.00996,0.67502,1.11213,0.89018,0.80029,0.86788,0.62573,1.18424,0.76104,1.24376,0.00610092,0.00610092,0.00610092
130,17360.1,1.00844,0.67278,1.11191,0.89068,0.80053,0.86767,0.62598,1.18362,0.75993,1.24398,0.00607046,0.00607046,0.00607046
131,17502.3,1.00409,0.67411,1.10951,0.89079,0.79984,0.86771,0.62647,1.18315,0.75912,1.24405,0.00604,0.00604,0.00604
132,17632.8,1.00028,0.6693,1.10438,0.8905,0.80098,0.86742,0.62647,1.18288,0.75843,1.24417,0.00600954,0.00600954,0.00600954
133,17763,0.99532,0.66589,1.10425,0.89187,0.7996,0.8674,0.62686,1.18272,0.75786,1.24436,0.00597908,0.00597908,0.00597908
134,17893.5,0.99173,0.66074,1.10405,0.89203,0.79915,0.86726,0.62712,1.18239,0.75662,1.24433,0.00594862,0.00594862,0.00594862
135,18036.1,0.99484,0.66472,1.10317,0.89231,0.7992,0.86757,0.62744,1.18137,0.75643,1.24353,0.00591815,0.00591815,0.00591815
136,18167.1,0.99519,0.66314,1.10361,0.89242,0.7987,0.86748,0.62781,1.18073,0.75501,1.24348,0.00588769,0.00588769,0.00588769
137,18298.3,0.98599,0.6577,1.09963,0.89201,0.79892,0.86744,0.62782,1.18047,0.7543,1.24338,0.00585723,0.00585723,0.00585723
138,18441.1,0.9914,0.6577,1.10117,0.89219,0.79831,0.86748,0.62848,1.17995,0.75369,1.24325,0.00582677,0.00582677,0.00582677
139,18573.3,0.98569,0.65423,1.0966,0.89265,0.79853,0.86714,0.62838,1.17954,0.75297,1.24298,0.00579631,0.00579631,0.00579631
140,18704.9,0.98186,0.65361,1.09552,0.89398,0.79608,0.86713,0.62847,1.17882,0.7523,1.24281,0.00576585,0.00576585,0.00576585
141,18836.2,0.9807,0.65556,1.09551,0.89541,0.79675,0.86714,0.62841,1.17822,0.75139,1.24262,0.00573538,0.00573538,0.00573538
142,18978.6,0.98251,0.65938,1.09742,0.89437,0.79741,0.86732,0.62856,1.17734,0.75052,1.24248,0.00570492,0.00570492,0.00570492
143,19109.6,0.98429,0.65292,1.0966,0.89107,0.79987,0.8677,0.62889,1.17623,0.75095,1.2416,0.00567446,0.00567446,0.00567446
144,19240.2,0.96532,0.64074,1.08903,0.89059,0.80003,0.86763,0.6293,1.17548,0.75055,1.24173,0.005644,0.005644,0.005644
145,19382.3,0.97795,0.64994,1.09504,0.88963,0.80118,0.86761,0.62967,1.17495,0.74996,1.24174,0.00561354,0.00561354,0.00561354
146,19513.4,0.97029,0.64416,1.08958,0.88919,0.80298,0.86738,0.62969,1.17428,0.74996,1.24153,0.00558308,0.00558308,0.00558308
147,19644.7,0.96402,0.63839,1.08803,0.88935,0.80073,0.86713,0.63,1.17357,0.74932,1.24111,0.00555262,0.00555262,0.00555262
148,19788.3,0.96551,0.64182,1.08965,0.89678,0.79652,0.8675,0.62983,1.17293,0.7491,1.24061,0.00552215,0.00552215,0.00552215
149,19918.7,0.97037,0.64198,1.0864,0.89905,0.79389,0.86711,0.63053,1.17282,0.7489,1.24072,0.00549169,0.00549169,0.00549169
