epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,11912,1.17421,0.82911,1.2017,0.85893,0.77618,0.84919,0.57519,1.29252,0.83345,1.29053,0.00594862,0.00594862,0.00594862
135,12018.2,1.18288,0.83366,1.20553,0.85956,0.77617,0.84973,0.5756,1.29129,0.8324,1.28971,0.00591815,0.00591815,0.00591815
136,12115,1.18623,0.8352,1.20325,0.85901,0.77624,0.84974,0.57589,1.29091,0.83221,1.28951,0.00588769,0.00588769,0.00588769
137,12211.8,1.17087,0.82418,1.19962,0.85999,0.77713,0.84971,0.57646,1.29026,0.83141,1.28929,0.00585723,0.00585723,0.00585723
138,12308.4,1.17715,0.82819,1.19728,0.85854,0.77775,0.84982,0.57672,1.28943,0.83093,1.28874,0.00582677,0.00582677,0.00582677
139,12415.5,1.16999,0.82227,1.19316,0.85988,0.77684,0.84961,0.57635,1.2894,0.83088,1.28869,0.00579631,0.00579631,0.00579631
140,12512.2,1.16721,0.82311,1.19379,0.85935,0.77753,0.85011,0.57665,1.28857,0.83018,1.28814,0.00576585,0.00576585,0.00576585
141,12608.6,1.16714,0.82284,1.19232,0.86037,0.77729,0.85018,0.57672,1.28848,0.82906,1.288,0.00573538,0.00573538,0.00573538
142,12704.8,1.16794,0.82457,1.19531,0.86182,0.77565,0.85024,0.57712,1.28767,0.82885,1.28725,0.00570492,0.00570492,0.00570492
143,12801.2,1.16591,0.82287,1.19163,0.86297,0.77513,0.85079,0.57754,1.28668,0.82819,1.28664,0.00567446,0.00567446,0.00567446
144,12907.2,1.15123,0.80833,1.18728,0.8635,0.77541,0.85033,0.57802,1.28604,0.82754,1.28593,0.005644,0.005644,0.005644
145,13003.6,1.16484,0.8178,1.19196,0.86214,0.77632,0.8504,0.57865,1.28533,0.82668,1.28526,0.00561354,0.00561354,0.00561354
146,13100.2,1.15929,0.81319,1.19207,0.86346,0.77557,0.85036,0.57913,1.28444,0.82639,1.28439,0.00558308,0.00558308,0.00558308
147,13196.9,1.15204,0.80994,1.18653,0.86414,0.77542,0.85071,0.57924,1.28386,0.8258,1.28421,0.00555262,0.00555262,0.00555262
148,13293.6,1.15393,0.80786,1.18774,0.86511,0.77471,0.85023,0.57941,1.28344,0.82552,1.28415,0.00552215,0.00552215,0.00552215
149,13399.1,1.15921,0.81248,1.18812,0.86637,0.77451,0.85072,0.57998,1.28286,0.82454,1.28381,0.00549169,0.00549169,0.00549169
150,13494.7,1.14876,0.80335,1.18596,0.86558,0.77535,0.8508,0.58017,1.28215,0.82387,1.28319,0.00546123,0.00546123,0.00546123
151,13590.4,1.15319,0.80732,1.18545,0.86432,0.77519,0.8507,0.58038,1.28079,0.82339,1.28232,0.00543077,0.00543077,0.00543077
152,13686.3,1.14546,0.8034,1.18046,0.86524,0.77446,0.85103,0.58049,1.27983,0.82283,1.28174,0.00540031,0.00540031,0.00540031
153,13782.2,1.14418,0.79576,1.18074,0.86802,0.77424,0.85136,0.58084,1.27944,0.82276,1.28126,0.00536985,0.00536985,0.00536985
154,13888.3,1.15172,0.80831,1.18554,0.86782,0.77406,0.85134,0.58076,1.27934,0.82193,1.28123,0.00533938,0.00533938,0.00533938
155,13985.1,1.1393,0.79101,1.17537,0.86886,0.77401,0.85136,0.58121,1.27864,0.82114,1.2806,0.00530892,0.00530892,0.00530892
156,14081.8,1.1486,0.80658,1.1855,0.8699,0.77357,0.85136,0.58149,1.27783,0.82085,1.28002,0.00527846,0.00527846,0.00527846
157,14178.4,1.14027,0.79541,1.17958,0.87236,0.77225,0.85118,0.58209,1.27661,0.81997,1.27919,0.005248,0.005248,0.005248
